,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,GeoRefNo,Prop_Addr,Latitude,Longitude,RemodScore,MaintenanceNeedScore
267,902402260,1086,55000,70,RM,60.0,11340,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,2,1,1920,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,Fa,3,BrkTil,Fa,3.0,No,Unf,0.0,Unf,0.0,723.0,723.0,GasA,TA,N,SBrkr,723,363,0,0.0,0.0,1,0,2,1,TA,5,Maj1,0,,Detchd,1920.0,Unf,2.0,400.0,Fa,4.0,N,0,24,144,0,0,0,,,,0,11,2008,ConLD,Normal,902402260.0,822 CARROLL AVE,42.02927821,-93.608717,6,3.8
1977,909101070,864,58500,30,RL,45.0,8212,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,,0.0,TA,3,BrkTil,TA,3.0,No,Rec,203.0,Unf,0.0,661.0,864.0,GasA,TA,N,FuseF,864,0,0,1.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1938.0,Unf,1.0,200.0,TA,3.0,Y,0,0,96,0,0,0,,,,0,6,2010,WD ,Normal,909101070.0,2908 WOOD ST,42.02208232,-93.65690512,6,3.6
205,903484080,1484,50000,50,RM,60.0,10320,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Artery,Norm,1Fam,1.5Fin,4,1,1910,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Fa,3,CBlock,TA,3.0,No,Unf,0.0,Unf,0.0,771.0,771.0,GasA,Fa,Y,SBrkr,866,504,114,0.0,0.0,2,0,3,1,TA,6,Sal,0,,Detchd,1910.0,Unf,1.0,264.0,TA,3.0,N,14,211,0,0,84,0,,,,0,9,2007,COD,Abnorml,903484080.0,1003 LINCOLN WAY,42.02295798,-93.62398131,6,3.6
1050,902301120,1928,137000,190,RM,69.0,9142,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,6,8,1910,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,TA,3,Stone,Fa,2.0,No,Unf,0.0,Unf,0.0,1020.0,1020.0,GasA,Gd,N,FuseP,908,1020,0,0.0,0.0,2,0,4,2,Fa,9,Typ,0,,Detchd,1910.0,Unf,1.0,440.0,Po,4.0,Y,0,60,112,0,0,0,,,,0,4,2006,WD ,Normal,902301120.0,820 WILSON AVE,42.02921671,-93.61826257,6,3.5
1622,531477020,841,82000,20,RH,60.0,8400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,,0.0,Fa,3,CBlock,TA,3.0,No,Unf,0.0,Unf,0.0,721.0,721.0,GasA,Gd,Y,SBrkr,841,0,0,0.0,0.0,1,0,2,1,TA,4,Typ,0,,CarPort,1950.0,Unf,1.0,294.0,TA,2.0,N,250,0,24,0,0,0,,,,0,9,2009,WD ,Normal,531477020.0,1515 NORTH DAKOTA AVE,42.036558,-93.678898,6,3.4
1801,905480090,1362,96000,50,RL,50.0,7550,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,4,5,1920,1950,Gambrel,CompShg,MetalSd,MetalSd,,0.0,Fa,3,BrkTil,TA,3.0,No,Unf,0.0,Unf,0.0,951.0,951.0,GasW,Fa,N,SBrkr,986,376,0,0.0,0.0,2,0,4,1,TA,7,Typ,0,,Detchd,1920.0,Unf,1.0,280.0,Fa,2.0,P,0,0,0,0,0,0,,MnPrv,,0,3,2007,WD ,Normal,905480090.0,3022 STORY ST,42.02367946,-93.65884227,6,3.4
2373,902106120,1022,89500,30,RM,56.0,4480,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1922,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,TA,2,PConc,Fa,3.0,No,LwQ,782.0,Unf,0.0,240.0,1022.0,GasA,TA,N,FuseF,1022,0,0,1.0,0.0,1,0,2,1,Fa,4,Typ,1,Gd,Detchd,1922.0,Unf,1.0,184.0,TA,3.0,N,0,122,20,0,0,0,,MnPrv,,0,2,2007,WD ,Normal,902106120.0,1004 GRAND AVE,42.03142439,-93.62020749,6,3.3000000000000003
520,905480240,1111,95000,50,RL,60.0,9084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,2,CBlock,TA,3.0,Mn,LwQ,236.0,Rec,380.0,0.0,616.0,GasA,TA,N,SBrkr,616,495,0,0.0,1.0,1,0,3,1,TA,5,Typ,0,,Detchd,1941.0,Unf,1.0,200.0,TA,3.0,Y,48,0,0,0,0,0,,,,0,3,2008,ConLw,Normal,905480240.0,3121 LINCOLN WAY,42.0228406,-93.66017316,6,3.3000000000000003
1336,911226030,864,65000,70,C (all),60.0,9000,Grvl,,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,2,Stone,Fa,3.0,Mn,Unf,0.0,Unf,0.0,592.0,592.0,GasA,Ex,Y,SBrkr,432,432,0,0.0,0.0,1,1,3,1,Fa,5,Min2,0,,Detchd,1920.0,Unf,1.0,216.0,Fa,3.0,N,0,30,160,0,0,0,,,,0,6,2008,WD ,Normal,911226030.0,116 CHERRY AVE,42.02253089,-93.60415665,6,3.3000000000000003
740,911102170,1317,40000,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,,0.0,TA,3,BrkTil,TA,2.0,No,Unf,0.0,Unf,0.0,649.0,649.0,GasA,TA,N,SBrkr,649,668,0,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,1.0,250.0,TA,3.0,N,0,54,172,0,0,0,,MnPrv,,0,7,2008,WD ,Normal,911102170.0,208 S WALNUT AVE,42.02140363,-93.61680909,6,3.3000000000000003
371,902109160,1740,122250,50,RM,81.0,7308,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,5,1920,1950,Gable,CompShg,WdShing,Wd Shng,,0.0,Fa,3,BrkTil,TA,2.0,No,Rec,360.0,Unf,0.0,576.0,936.0,GasA,Gd,N,FuseA,960,780,0,0.0,0.0,1,0,2,1,Ex,6,Typ,1,Gd,Detchd,1920.0,Unf,1.0,225.0,Fa,3.0,N,0,0,236,0,0,0,,,,0,6,2008,WD ,Normal,902109160.0,926 GRAND AVE,42.03053926,-93.62018698,6,3.3000000000000003
1070,903456060,1077,91000,30,RM,60.0,9786,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,3,4,1922,1950,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,BrkTil,TA,3.0,No,Unf,0.0,Unf,0.0,1007.0,1007.0,GasA,Fa,N,SBrkr,1077,0,0,0.0,0.0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,1922.0,Unf,1.0,210.0,TA,3.0,P,0,100,48,0,0,0,,,,0,5,2006,WD ,Normal,903456060.0,107 N RUSSELL AVE,42.02304189,-93.62845121,6,3.3000000000000003
110,904300150,1224,107500,50,RL,72.0,10632,Pave,,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,5,3,1917,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,BrkTil,Gd,3.0,No,Unf,0.0,Unf,0.0,689.0,689.0,GasA,Gd,N,SBrkr,725,499,0,0.0,0.0,1,1,3,1,Po,6,Mod,0,,Detchd,1917.0,Unf,1.0,180.0,Fa,3.0,N,0,0,248,0,0,0,,,,0,1,2010,COD,Normal,904300150.0,3021 OAKLAND ST,42.02828956,-93.65878627,6,3.3000000000000003
1102,531479020,784,76000,45,RH,60.0,9000,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,BrkTil,Fa,3.0,No,Unf,0.0,Unf,0.0,784.0,784.0,GasA,TA,N,FuseA,784,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1950.0,Unf,2.0,360.0,Fa,3.0,N,0,0,91,0,0,0,,,,0,10,2009,WD ,Normal,531479020.0,4603 HUTCHISON ST,42.03529173,-93.68036486,6,3.3000000000000003
1902,902305090,1774,87000,70,RM,60.0,9600,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,2,1900,1950,Gable,CompShg,AsbShng,Stucco,,0.0,TA,2,BrkTil,TA,3.0,No,Unf,0.0,Unf,0.0,1095.0,1095.0,GasW,Fa,N,SBrkr,1095,679,0,1.0,0.0,2,0,4,2,TA,8,Min2,0,,2Types,1920.0,Unf,3.0,779.0,Fa,3.0,N,0,0,90,0,0,0,,,,0,5,2006,WD ,Normal,902305090.0,712 CLARK AVE,42.02808698,-93.61685259,6,3.3000000000000003
1233,904301375,904,61000,30,RL,,10020,Pave,,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Fa,3,BrkTil,Fa,4.0,Gd,BLQ,350.0,Unf,0.0,333.0,683.0,GasA,Gd,N,FuseA,904,0,0,1.0,0.0,0,1,1,1,Fa,4,Maj1,0,,,,,0.0,0.0,,0.0,Y,0,0,0,0,0,0,,,,0,3,2009,WD ,Normal,904301375.0,520 FOREST GLEN,42.02747756,-93.6603139,6,3.3
2574,903205040,952,121000,30,RL,,8854,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,6,1916,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,BrkTil,TA,2.0,No,Unf,0.0,Unf,0.0,952.0,952.0,Grav,Fa,N,FuseF,952,0,0,0.0,0.0,1,0,2,1,Fa,4,Typ,1,Gd,Detchd,1916.0,Unf,1.0,192.0,Fa,4.0,P,0,98,0,0,40,0,,,,0,5,2009,WD ,Normal,903205040.0,1021 RIDGEWOOD AVE,42.03210178,-93.62637284,6,3.2
579,909250160,789,96500,45,RL,55.0,10594,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Unf,5,5,1926,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,BrkTil,TA,2.0,No,Unf,0.0,Unf,0.0,768.0,768.0,Grav,Fa,N,SBrkr,789,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1926.0,Unf,1.0,200.0,Po,4.0,Y,0,0,112,0,0,0,,MnPrv,,0,6,2007,WD ,Normal,909250160.0,2321 BAKER ST,42.01804635,-93.64690039,6,3.2
1033,905480210,1510,108000,70,RL,60.0,9084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,2Story,4,5,1940,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,2,CBlock,TA,2.0,Mn,Unf,0.0,Unf,0.0,755.0,755.0,GasA,TA,Y,SBrkr,755,755,0,1.0,0.0,1,0,4,1,TA,7,Typ,1,Gd,Detchd,1940.0,Unf,1.0,296.0,Fa,4.0,P,120,0,0,0,0,0,,MnPrv,,0,10,2009,WD ,Normal,905480210.0,3107 LINCOLN WAY,42.02283947,-93.66007305,6,3.2
510,904351240,1112,63000,50,RL,60.0,9780,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,3,1934,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,2,PConc,TA,2.0,No,Unf,0.0,Unf,0.0,585.0,585.0,GasA,TA,N,FuseA,687,425,0,1.0,0.0,2,0,4,1,TA,6,Typ,0,,Detchd,1934.0,Unf,1.0,226.0,Po,4.0,N,0,0,0,0,0,0,,,,0,3,2009,WD ,Normal,904351240.0,122 HOWARD AVE,42.02304641,-93.65834769,6,3.2
2067,903455030,1308,120000,50,RM,,10320,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,6,1915,1978,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,3,BrkTil,TA,3.0,No,Unf,0.0,Unf,0.0,880.0,880.0,GasA,Gd,Y,SBrkr,880,428,0,0.0,0.0,2,0,2,1,TA,6,Typ,0,,Detchd,1950.0,Unf,2.0,400.0,Fa,3.0,Y,0,0,117,0,0,0,,,,0,4,2008,WD ,Normal,903455030.0,1118 N 3RD ST,42.02511612,-93.6261432,4,3.1999999999999997
978,535382020,2414,160000,190,RL,60.0,10800,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,2fmCon,1.5Fin,5,4,1900,1970,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,3,CBlock,TA,3.0,No,BLQ,664.0,Unf,0.0,290.0,954.0,GasA,TA,N,FuseA,1766,648,0,0.0,0.0,2,0,3,2,TA,10,Mod,1,Gd,Attchd,1970.0,Unf,2.0,520.0,TA,3.0,N,142,0,0,0,0,0,,,,0,5,2006,ConLD,Normal,535382020.0,1327 DOUGLAS AVE,42.03524364,-93.61244364,4,3.1999999999999997
427,902207130,832,12789,30,RM,68.0,9656,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,2,2,1923,1970,Gable,CompShg,AsbShng,AsbShng,,0.0,TA,3,BrkTil,Fa,3.0,No,Unf,0.0,Unf,0.0,678.0,678.0,GasA,TA,N,SBrkr,832,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1928.0,Unf,2.0,780.0,Fa,3.0,N,0,0,0,0,0,0,,,,0,6,2010,WD ,Abnorml,902207130.0,931 MAXWELL AVE,42.0304753,-93.60682805,4,3.1999999999999997
1206,903231010,1539,141500,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,6,1936,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,3,BrkTil,TA,2.0,No,Unf,0.0,Unf,0.0,927.0,927.0,GasA,TA,Y,SBrkr,1067,472,0,0.0,0.0,1,1,3,1,TA,5,Typ,0,,Detchd,1995.0,Unf,2.0,576.0,TA,2.0,Y,112,0,0,0,0,0,,MnPrv,,0,4,2009,WD ,Normal,903231010.0,1125 MARSTON AVE,42.03248908,-93.62368516,6,3.1
85,903227090,1412,132500,50,RM,50.0,6000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,3,CBlock,TA,2.0,No,Unf,0.0,Unf,0.0,780.0,780.0,GasA,Ex,Y,FuseF,825,587,0,0.0,0.0,1,0,4,1,TA,6,Typ,1,Gd,Detchd,1939.0,Unf,1.0,280.0,TA,2.0,Y,45,0,0,0,0,0,,,,0,5,2009,WD ,Normal,903227090.0,1206 MARSTON AVE,42.03345547,-93.62348414,6,3.1
1800,904100030,1422,137500,50,RL,82.0,12375,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1.5Fin,5,5,1951,1951,Gable,CompShg,HdBoard,HdBoard,Stone,41.0,TA,3,CBlock,TA,2.0,No,BLQ,329.0,Unf,0.0,477.0,806.0,GasA,TA,Y,SBrkr,1081,341,0,1.0,0.0,1,0,3,1,TA,7,Typ,1,TA,Detchd,1951.0,Unf,1.0,288.0,TA,2.0,Y,0,0,0,0,0,0,,GdWo,,0,6,2006,WD ,Normal,904100030.0,2912 ONTARIO ST,42.03440626,-93.65711293,6,3.1
1550,909175080,438,60000,30,RL,60.0,8400,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,2,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,CBlock,TA,3.0,No,Rec,290.0,Unf,0.0,0.0,290.0,GasA,TA,N,FuseF,438,0,0,0.0,0.0,1,0,1,1,Fa,3,Typ,0,,Detchd,1930.0,Unf,1.0,246.0,TA,2.0,N,0,0,0,0,0,0,,,,0,1,2009,WD ,Normal,909175080.0,507 HAYWARD AVE,42.01745576,-93.651822,6,3.1
801,908225320,1487,113000,50,RL,52.0,8741,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1945,1950,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,2,CBlock,TA,3.0,No,LwQ,94.0,Unf,0.0,641.0,735.0,GasA,TA,Y,FuseA,798,689,0,0.0,0.0,1,1,3,1,TA,7,Typ,1,Gd,Detchd,1949.0,Unf,1.0,220.0,TA,2.0,Y,0,140,0,0,0,0,,MnPrv,,0,4,2010,WD ,Normal,908225320.0,148 S FRANKLIN AVE,42.02170541,-93.66465473,6,3.1
2550,535450220,1082,119200,20,RL,60.0,11664,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1Story,6,5,1948,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,206.0,TA,2,CBlock,TA,3.0,No,BLQ,336.0,Unf,0.0,746.0,1082.0,GasA,TA,Y,SBrkr,1082,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1948.0,Unf,1.0,240.0,TA,2.0,Y,0,130,0,0,0,0,,,,0,11,2007,WD ,Normal,535450220.0,1416 DUFF AVE,42.03599737,-93.61057741,6,3.1
1055,909281020,1355,140000,190,RL,79.0,6221,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,2fmCon,1.5Fin,5,5,1941,1950,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,2,CBlock,TA,3.0,No,LwQ,533.0,Unf,0.0,195.0,728.0,GasA,Ex,Y,SBrkr,760,595,0,0.0,0.0,2,0,3,1,TA,5,Typ,0,,Detchd,1966.0,Unf,2.0,528.0,TA,2.0,Y,0,0,0,0,144,0,,MnPrv,,0,10,2007,WD ,Normal,909281020.0,2010 KILDEE ST,42.01748201,-93.63969279,6,3.1
1025,903233180,1367,127500,50,RM,52.0,6240,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1931,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,BrkTil,TA,3.0,No,LwQ,425.0,Unf,0.0,459.0,884.0,GasA,TA,Y,FuseA,959,408,0,0.0,0.0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,1978.0,Unf,1.0,560.0,TA,2.0,Y,0,0,0,0,120,0,,,,0,11,2007,WD ,Normal,903233180.0,1020 ROOSEVELT AVE,42.03158218,-93.62236943,6,3.1
1065,903205085,1167,144000,30,RL,98.0,8731,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,Stucco,Stucco,,0.0,TA,3,BrkTil,TA,2.0,No,BLQ,645.0,Unf,0.0,270.0,915.0,GasA,TA,Y,SBrkr,1167,0,0,0.0,0.0,1,0,3,1,TA,6,Maj1,1,Gd,Detchd,1972.0,Unf,2.0,495.0,TA,2.0,Y,0,0,216,0,126,0,,,,0,5,2007,WD ,Normal,903205085.0,1010 BROOKRIDGE AVE,42.03215359,-93.62723363,6,3.1
1922,902134060,1376,96900,70,RM,42.0,7614,Pave,Grvl,Reg,Lvl,AllPub,Inside,Mod,OldTown,Norm,Norm,1Fam,2Story,3,5,1905,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,2,BrkTil,TA,3.0,Mn,Unf,0.0,Unf,0.0,738.0,738.0,GasA,Gd,Y,FuseA,714,662,0,0.0,0.0,1,0,2,1,TA,7,Typ,0,,Detchd,1930.0,Unf,1.0,216.0,TA,2.0,N,0,0,104,0,225,0,,,,0,3,2006,WD ,Normal,902134060.0,909 KELLOGG AVE,42.03037053,-93.61394578,6,3.1
2230,903450060,1818,169500,50,RM,,7758,Pave,,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,7,4,1931,1950,Gable,CompShg,Stucco,Stucco,BrkFace,600.0,TA,3,PConc,TA,2.0,No,LwQ,224.0,Unf,0.0,816.0,1040.0,GasA,Ex,Y,FuseF,1226,592,0,0.0,0.0,1,1,4,1,TA,7,Typ,2,TA,Detchd,1951.0,Unf,1.0,240.0,TA,2.0,Y,0,0,0,0,184,0,,,,0,6,2007,WD ,Normal,903450060.0,303 N RUSSELL AVE,42.02534759,-93.6284865,6,3.1
562,903236040,1072,126500,30,RM,50.0,8635,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,5,1925,1950,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,3,BrkTil,TA,2.0,No,LwQ,134.0,Unf,0.0,938.0,1072.0,GasA,TA,Y,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1982.0,Unf,5.0,1184.0,Fa,2.0,P,0,0,105,0,0,0,,,,0,8,2009,WD ,Normal,903236040.0,720 10TH ST,42.03119947,-93.6206391,6,3.1
1962,903457040,2180,161000,50,RM,60.0,10320,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,5,1915,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,2,CBlock,TA,3.0,No,LwQ,375.0,Unf,0.0,763.0,1138.0,GasA,Gd,Y,SBrkr,1138,1042,0,0.0,0.0,1,1,3,1,TA,7,Typ,1,Gd,Detchd,2006.0,Unf,2.0,720.0,TA,2.0,N,0,0,170,0,0,0,,,,0,5,2007,WD ,Normal,903457040.0,1212 N 2ND ST,42.02394284,-93.62711896,6,3.1
1524,903451090,1930,149000,70,RM,57.0,6876,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,6,5,1927,1950,Gable,CompShg,Plywood,Plywood,,0.0,TA,2,CBlock,TA,3.0,No,BLQ,522.0,Unf,0.0,198.0,720.0,GasA,Fa,Y,SBrkr,1146,784,0,1.0,0.0,2,0,4,1,TA,8,Typ,0,,Attchd,1927.0,Unf,1.0,316.0,TA,2.0,Y,0,0,213,0,0,0,,MnPrv,,0,8,2009,WD ,Normal,903451090.0,308 N RUSSELL AVE,42.02540937,-93.62826717,6,3.1
2498,908226130,924,80000,190,RL,60.0,12180,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1.5Fin,4,4,1941,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,3,BrkTil,Gd,2.0,No,BLQ,348.0,Unf,0.0,324.0,672.0,Grav,Fa,N,FuseA,672,252,0,1.0,0.0,1,0,2,1,Fa,5,Typ,0,,Detchd,1941.0,Unf,1.0,280.0,TA,2.0,Y,0,0,0,0,0,0,,MnPrv,,0,7,2010,WD ,Normal,908226130.0,3223 LETTIE ST,42.02159549,-93.66032376,6,3.1
