,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,GeoRefNo,Prop_Addr,Latitude,Longitude,RemodScore,MaintenanceNeedScore
2041,905480160,1456,91500,50,RL,50.0,7585,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,5,3,1948,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,2,CBlock,Fa,3.0,Mn,Unf,0.0,Unf,0.0,810.0,810.0,GasA,Fa,Y,FuseA,1002,454,0,1.0,1.0,1,0,4,1,TA,7,Typ,1,TA,Detchd,1954.0,Unf,1.0,280.0,TA,2.0,P,0,0,0,0,0,0,,,,0,8,2006,WD ,Normal,905480160.0,3011 LINCOLN WAY,42.0228344,-93.65938651,6,3.1
2507,903234050,1068,109500,30,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,6,5,1923,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,BrkTil,Fa,3.0,No,ALQ,960.0,Unf,0.0,164.0,1124.0,GasA,TA,Y,SBrkr,1068,0,0,1.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1923.0,Unf,1.0,288.0,TA,2.0,Y,0,0,128,0,0,0,,,,0,3,2010,WD ,Normal,903234050.0,1115 GRAND AVE,42.03239,-93.62044771,6,3.1
1326,903234220,1582,150000,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,6,1938,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,BrkTil,TA,3.0,No,LwQ,273.0,Unf,0.0,679.0,952.0,GasA,TA,Y,FuseA,994,588,0,0.0,0.0,2,0,3,1,TA,6,Typ,1,Gd,Detchd,1938.0,Unf,1.0,250.0,Fa,2.0,Y,189,0,34,150,0,0,,,,0,2,2009,WD ,Normal,903234220.0,1106 HARDING AVE,42.03234106,-93.62132202,6,3.1
1394,909275250,1550,195000,50,RL,66.0,21780,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,TA,2,PConc,TA,3.0,No,Unf,0.0,Unf,0.0,817.0,817.0,GasA,Gd,Y,FuseF,940,610,0,0.0,0.0,1,1,3,1,TA,7,Min2,1,TA,Detchd,1937.0,Unf,1.0,318.0,TA,2.0,P,0,0,429,0,0,0,,MnPrv,,0,9,2006,WD ,Normal,909275250.0,430 ASH AVE,42.01868817,-93.64421892,6,3.1
281,903481120,1666,135000,50,RM,60.0,5160,Pave,,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,3,BrkTil,TA,2.0,No,Unf,0.0,Unf,0.0,1204.0,1204.0,GasA,TA,Y,FuseA,1204,462,0,0.0,0.0,1,0,3,1,TA,4,Typ,0,,Detchd,1927.0,Unf,1.0,384.0,Fa,2.0,Y,0,0,148,0,0,0,,,,0,8,2009,WD ,Normal,903481120.0,1027 N 2ND ST,42.02413529,-93.62415224,6,3.1
131,905475510,1298,114000,20,RL,,11200,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,3,1964,1964,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,3,CBlock,TA,2.0,Mn,Unf,0.0,Unf,0.0,1250.0,1250.0,GasA,Ex,Y,SBrkr,1298,0,0,0.0,0.0,2,0,3,1,TA,5,Typ,0,,Detchd,1964.0,Unf,2.0,504.0,TA,3.0,N,0,144,0,0,0,0,,,,0,6,2010,COD,Normal,905475510.0,310 COLORADO CIR,42.02508273,-93.66333661,5,3.1
2238,526302110,882,124500,20,RL,74.0,13008,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,1956,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,2,CBlock,Fa,3.0,No,Rec,564.0,Unf,0.0,318.0,882.0,GasA,TA,Y,SBrkr,882,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Attchd,1956.0,Unf,1.0,502.0,TA,2.0,Y,0,0,0,0,0,0,,,,0,10,2009,WD ,Normal,526302110.0,623 RIVER OAK DR,42.05284063,-93.6186329,6,3.1
2215,909256020,1288,112000,50,RL,51.0,6191,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,4,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,CBlock,Fa,3.0,No,LwQ,384.0,Unf,0.0,440.0,824.0,GasA,TA,N,SBrkr,824,464,0,0.0,0.0,1,0,4,1,TA,6,Typ,0,,Detchd,1941.0,Unf,1.0,240.0,TA,2.0,Y,0,0,0,0,0,0,,,,0,11,2006,WD ,Normal,909256020.0,2342 STORM ST,42.01606471,-93.64728786,6,3.1
169,902111010,844,111500,30,RM,50.0,5633,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,7,1925,1950,Gable,CompShg,MetalSd,Stucco,,0.0,TA,2,BrkTil,TA,3.0,No,Unf,0.0,Unf,0.0,844.0,844.0,GasA,TA,Y,SBrkr,844,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1925.0,Unf,1.0,216.0,TA,2.0,N,50,81,123,0,0,0,,,,0,7,2006,WD ,Normal,902111010.0,412 10TH ST,42.03119248,-93.61581118,6,3.1
2350,534477030,2136,137900,20,RL,89.0,10680,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,44.0,TA,2,CBlock,TA,3.0,No,LwQ,756.0,Unf,0.0,1380.0,2136.0,GasA,TA,N,FuseA,2136,0,0,0.0,0.0,2,0,4,1,TA,7,Mod,0,,Detchd,1951.0,Unf,2.0,528.0,TA,2.0,Y,0,30,0,0,0,0,,MnPrv,,0,10,2006,WD ,Normal,534477030.0,1531 ROOSEVELT AVE,42.03739597,-93.62268066,6,3.1
2234,534427090,1095,140000,190,RL,75.0,10382,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,2fmCon,SLvl,6,5,1958,1958,Hip,CompShg,HdBoard,HdBoard,BrkFace,105.0,TA,3,CBlock,TA,2.0,Gd,ALQ,513.0,Unf,0.0,75.0,588.0,GasA,TA,Y,SBrkr,1095,0,0,1.0,0.0,1,0,2,1,TA,6,Typ,0,,Attchd,1958.0,RFn,1.0,264.0,TA,2.0,Y,0,0,0,0,0,0,,,,0,3,2006,ConLD,Normal,534427090.0,809 HUNZIKER DR,42.04127677,-93.62179029,6,3.1
2012,911102090,1361,89000,70,C (all),60.0,5280,Pave,,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,7,1895,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,Stone,Po,3.0,No,Unf,0.0,Unf,0.0,173.0,173.0,GasA,Ex,N,SBrkr,825,536,0,0.0,0.0,1,0,2,1,TA,6,Typ,0,,Detchd,1895.0,Unf,1.0,185.0,Fa,2.0,Y,0,123,0,0,0,0,,,,0,7,2008,WD ,Normal,911102090.0,233 WASHINGTON AVE,42.02112145,-93.61545986,6,3.1
140,908102330,1220,102000,20,RL,67.0,8877,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,CBlock,Fa,3.0,No,LwQ,836.0,Unf,0.0,0.0,836.0,GasA,TA,Y,FuseF,1220,0,0,0.0,0.0,1,0,2,1,TA,6,Typ,0,,Detchd,1951.0,Unf,2.0,396.0,TA,2.0,Y,0,0,0,0,0,0,,,,0,4,2006,COD,Normal,908102330.0,301 ABRAHAM DR,42.02034341,-93.67639186,6,3.1
1104,535454070,1385,166000,50,RL,71.0,8520,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,4,1952,1952,Gable,CompShg,BrkFace,Wd Sdng,,0.0,TA,3,CBlock,TA,2.0,No,Rec,507.0,Unf,0.0,403.0,910.0,GasA,Fa,Y,SBrkr,910,475,0,0.0,0.0,2,0,4,1,TA,6,Typ,0,,Detchd,2000.0,Unf,2.0,720.0,TA,2.0,Y,0,0,0,0,0,0,,MnPrv,,0,6,2010,WD ,Normal,535454070.0,133 E 13TH ST,42.03462525,-93.61006092,6,3.1
819,909281030,1091,104000,20,RL,79.0,7801,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Feedr,Norm,1Fam,1Story,6,5,1951,1951,Hip,CompShg,WdShing,Plywood,BrkFace,88.0,TA,3,PConc,TA,2.0,No,Rec,500.0,Unf,0.0,591.0,1091.0,GasA,Fa,N,FuseA,1091,0,0,0.0,1.0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1951.0,Fin,1.0,344.0,TA,2.0,Y,66,105,0,0,221,0,,MnPrv,,0,5,2008,WD ,Normal,909281030.0,2006 KILDEE ST,42.0174932,-93.639632,6,3.1
2485,535377070,715,68000,30,RL,60.0,10914,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1Story,3,3,1929,1950,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,3,CBlock,TA,2.0,Mn,Unf,0.0,Unf,0.0,715.0,715.0,GasA,Fa,N,FuseP,715,0,0,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1967.0,Unf,2.0,660.0,Fa,2.0,N,0,0,75,0,112,0,,,,0,8,2006,WD ,Normal,535377070.0,1507 DUFF AVE,42.0372052,-93.61080818,6,3.1
1419,903426180,1962,149500,50,RM,57.0,8094,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,5,1915,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,3,CBlock,TA,2.0,No,Unf,0.0,Unf,0.0,888.0,888.0,GasA,Ex,Y,SBrkr,888,1074,0,0.0,0.0,1,1,4,1,TA,9,Typ,1,TA,Detchd,1915.0,Unf,2.0,572.0,TA,2.0,Y,160,0,364,0,0,0,,GdPrv,,0,6,2010,WD ,Normal,903426180.0,807 HODGE AVE,42.02899673,-93.62171171,6,3.1
334,909256010,1465,131000,50,RL,84.0,10164,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,5,1939,1950,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,2,CBlock,TA,3.0,Av,LwQ,646.0,Unf,0.0,346.0,992.0,GasA,Fa,Y,SBrkr,992,473,0,0.0,0.0,2,0,3,1,TA,6,Typ,2,TA,Detchd,1939.0,Unf,1.0,240.0,TA,2.0,Y,0,126,0,0,0,0,,,,0,7,2006,WD ,Normal,909256010.0,714 STANTON AVE,42.01599771,-93.64837886,6,3.1
1746,903236200,1048,113000,45,RM,58.0,6380,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,5,6,1922,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,2,BrkTil,TA,3.0,No,Unf,0.0,Unf,0.0,993.0,993.0,GasA,TA,Y,FuseA,1048,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1922.0,Unf,1.0,280.0,TA,2.0,Y,0,0,116,0,0,0,,,,0,8,2006,WD ,Normal,903236200.0,918 ROOSEVELT AVE,42.03046802,-93.62234911,6,3.1
2503,905200380,872,105000,30,RL,,17529,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,Stone,65.0,TA,2,BrkTil,TA,2.0,No,Unf,0.0,Unf,0.0,872.0,872.0,GasA,Fa,N,FuseF,872,0,0,0.0,0.0,1,0,2,1,Fa,5,Mod,1,Gd,Detchd,1924.0,Unf,1.0,322.0,Fa,3.0,N,0,0,116,0,0,0,,,,0,4,2006,WD ,Normal,905200380.0,3631 ROSS RD,42.0323153,-93.66718052,6,3.0000000000000004
1875,535302120,1866,135000,90,RL,76.0,9482,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,4,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,657.0,TA,2,PConc,TA,2.0,No,Unf,0.0,Unf,0.0,1866.0,1866.0,GasA,Ex,Y,SBrkr,1866,0,0,0.0,0.0,2,0,4,2,TA,8,Typ,0,,Detchd,1958.0,Unf,2.0,495.0,TA,3.0,Y,0,0,0,0,0,0,,,,0,12,2009,WD ,Normal,535302120.0,419 18TH ST,42.04034122,-93.61594365,6,3.0000000000000004
405,910203250,540,82000,30,RM,58.0,8154,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,2,5,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,BrkTil,TA,2.0,No,BLQ,480.0,Unf,0.0,0.0,480.0,GasA,TA,Y,SBrkr,540,0,0,0.0,0.0,1,0,1,1,TA,4,Typ,0,,Detchd,1951.0,Unf,1.0,200.0,Fa,3.0,N,0,0,0,0,0,0,,,,0,4,2010,ConLw,Normal,910203250.0,228 S RIVERSIDE DR,42.02132717,-93.62946068,6,3.0000000000000004
1596,535325290,1005,115000,20,RL,60.0,10434,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1955,1955,Gable,CompShg,Plywood,Plywood,,0.0,TA,2,CBlock,TA,2.0,No,Unf,0.0,Unf,0.0,1005.0,1005.0,GasA,TA,Y,SBrkr,1005,0,0,0.0,0.0,1,0,2,1,Fa,5,Typ,1,TA,Detchd,1977.0,Unf,2.0,672.0,Fa,3.0,Y,0,0,0,0,0,0,,,,0,11,2009,WD ,Normal,535325290.0,1611 DOUGLAS AVE,42.03849757,-93.61243712,6,3.0000000000000004
1617,908102290,816,100000,20,RL,67.0,8877,Pave,,Reg,Lvl,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,1Story,4,6,1938,1958,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,2,CBlock,TA,2.0,Mn,ALQ,690.0,Unf,0.0,126.0,816.0,GasA,Ex,Y,SBrkr,816,0,0,1.0,0.0,1,0,2,1,TA,3,Typ,1,Gd,Detchd,1958.0,Unf,1.0,288.0,Fa,3.0,Y,0,0,0,0,0,0,,,,0,5,2009,WD ,Normal,908102290.0,207 ABRAHAM DR,42.02110348,-93.67640515,6,3.0000000000000004
586,910205020,1192,78000,70,RM,60.0,6402,Pave,,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,TA,2,PConc,TA,2.0,Mn,Unf,0.0,Unf,0.0,596.0,596.0,GasA,TA,N,SBrkr,596,596,0,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,1.0,189.0,Fa,3.0,N,0,0,137,0,0,0,,GdWo,,0,7,2009,WD ,Normal,910205020.0,203 S MAPLE AVE,42.02147753,-93.62532922,6,3.0000000000000004
2104,903427120,1768,155000,70,RM,57.0,8094,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,6,1915,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,2,PConc,TA,2.0,No,Unf,0.0,Unf,0.0,1048.0,1048.0,GasA,Gd,Y,FuseA,1048,720,0,0.0,0.0,2,0,3,1,TA,8,Typ,0,,Detchd,1930.0,Unf,2.0,576.0,Fa,3.0,Y,0,0,150,0,0,0,,,,0,6,2009,WD ,Normal,903427120.0,810 HODGE AVE,42.02904622,-93.62149286,6,3.0000000000000004
2551,902305080,2058,129500,75,RM,60.0,9600,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,6,5,1917,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,TA,2,BrkTil,Gd,2.0,No,Rec,319.0,Unf,0.0,416.0,735.0,OthW,Fa,N,SBrkr,1134,924,0,0.0,0.0,1,1,3,1,TA,8,Typ,1,Gd,Detchd,1950.0,Unf,2.0,396.0,Fa,3.0,P,0,0,259,0,0,0,,,,0,4,2008,WD ,Normal,902305080.0,706 CLARK AVE,42.02803849,-93.6168518,6,3.0000000000000004
568,1007100110,1836,103000,70,I (all),,56600,Pave,,IR1,Low,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,1,1900,1950,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,BrkTil,TA,2.0,No,Unf,0.0,Unf,0.0,686.0,686.0,GasA,Ex,Y,SBrkr,1150,686,0,0.0,0.0,2,0,4,1,TA,7,Maj1,0,,Detchd,1900.0,Unf,1.0,288.0,TA,3.0,N,0,0,0,0,0,0,,,,0,1,2008,WD ,Normal,1007100110.0,2520 E LINCOLN WAY,42.02265498,-93.57832729,6,3.0000000000000004
1385,909253010,1913,177000,50,RL,57.0,7558,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,6,6,1928,1950,Gable,CompShg,BrkFace,Stone,,0.0,TA,2,BrkTil,TA,2.0,No,Unf,0.0,Unf,0.0,896.0,896.0,GasA,Gd,Y,SBrkr,1172,741,0,0.0,0.0,1,1,3,1,TA,9,Typ,1,TA,Detchd,1929.0,Unf,2.0,342.0,Fa,3.0,Y,0,0,0,0,0,0,,,,0,3,2009,WD ,Normal,909253010.0,2332 DONALD ST,42.01693457,-93.64711678,6,3.0000000000000004
1432,902301130,1232,114000,70,RM,35.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,7,1910,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,2,BrkTil,TA,2.0,No,BLQ,168.0,Unf,0.0,448.0,616.0,GasA,Ex,Y,SBrkr,616,616,0,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,2.0,480.0,Fa,3.0,Y,280,0,143,0,0,0,,,,0,6,2007,WD ,Normal,902301130.0,824 WILSON AVE,42.02926186,-93.61826429,6,3.0000000000000004
630,903400030,816,109000,30,RL,50.0,11672,Pave,Pave,IR2,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,5,1925,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,2,BrkTil,TA,2.0,No,Unf,0.0,Unf,0.0,816.0,816.0,GasA,TA,Y,FuseA,816,0,0,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1925.0,Unf,1.0,210.0,Fa,3.0,N,168,0,112,0,0,0,,,,0,7,2006,WD ,Normal,903400030.0,829 RIDGEWOOD AVE,42.02949532,-93.62581691,6,3.0000000000000004
221,910202030,816,75200,30,RM,46.0,3672,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,1Fam,1Story,5,7,1922,1950,Gable,CompShg,Stucco,Stucco,,0.0,TA,2,BrkTil,TA,2.0,No,Unf,0.0,Unf,0.0,816.0,816.0,GasA,Ex,Y,SBrkr,816,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1922.0,Unf,1.0,100.0,Fa,3.0,N,0,0,96,0,0,0,,,,0,9,2007,WD ,Normal,910202030.0,1108 LINCOLN WAY,42.02279184,-93.6254848,6,3.0000000000000004
301,902427040,1248,87000,50,RM,52.0,9439,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,CBlock,TA,2.0,No,LwQ,324.0,Unf,0.0,588.0,912.0,GasA,Gd,Y,FuseA,912,336,0,0.0,0.0,1,0,2,1,TA,6,Typ,0,,Detchd,1957.0,Unf,1.0,160.0,Fa,3.0,Y,0,0,192,0,0,0,,,,0,3,2007,WD ,Normal,902427040.0,418 E 6TH ST,42.02694852,-93.6048354,6,3.0000000000000004
2151,909101330,498,35000,30,RL,60.0,8088,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Feedr,Norm,1Fam,1Story,2,3,1922,1955,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,2,BrkTil,TA,2.0,No,Unf,0.0,Unf,0.0,498.0,498.0,GasA,TA,N,FuseF,498,0,0,0.0,0.0,1,0,1,1,TA,3,Typ,0,,Detchd,1922.0,Unf,1.0,216.0,Fa,3.0,N,0,0,100,0,0,0,,,,0,2,2006,ConLD,Normal,909101330.0,202 STATE AVE,42.02185706,-93.65901636,6,3.0000000000000004
1402,909250120,1784,138887,70,RL,96.0,13132,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,5,5,1914,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,BrkTil,Gd,2.0,Mn,Unf,0.0,Unf,0.0,747.0,747.0,GasA,Gd,Y,FuseF,892,892,0,0.0,0.0,1,1,4,1,TA,9,Typ,0,,Detchd,1914.0,Unf,1.0,180.0,Fa,3.0,N,203,40,0,0,0,0,,,,0,7,2006,WD ,Normal,909250120.0,419 LYNN AVE,42.01887222,-93.646474,6,3.0000000000000004
1611,902207110,840,64000,30,RM,48.0,5747,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,4,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,2,PConc,TA,2.0,No,Unf,0.0,Unf,0.0,798.0,798.0,GasA,Gd,Y,SBrkr,840,0,0,0.0,0.0,1,0,2,1,Fa,5,Typ,0,,Detchd,1938.0,Unf,1.0,250.0,TA,3.0,N,112,0,0,0,0,0,,,,0,6,2006,WD ,Normal,902207110.0,1009 MAXWELL AVE,42.03112855,-93.60684207,6,3.0000000000000004
1605,923276250,2432,159000,90,RL,70.0,7700,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,2Story,5,2,1985,1986,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,4,PConc,TA,2.0,No,Unf,0.0,Unf,0.0,1216.0,1216.0,GasA,Gd,Y,SBrkr,1216,1216,0,0.0,0.0,4,2,4,2,TA,10,Typ,0,,Attchd,1985.0,Unf,2.0,616.0,TA,3.0,Y,200,0,0,0,0,0,,,Shed,600,2,2010,WD ,Normal,923276250.0,615 DULUTH ST 617,41.9874384,-93.6038168,3,3.0000000000000004
2229,902109130,1701,94550,190,RM,63.0,7627,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,2fmCon,2Story,4,6,1920,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,Fa,2,BrkTil,Fa,4.0,No,Unf,0.0,Unf,0.0,600.0,600.0,GasA,Gd,N,SBrkr,1101,600,0,0.0,0.0,2,0,4,2,Fa,8,Typ,0,,,,,0.0,0.0,,0.0,N,0,0,148,0,0,0,,,,0,10,2009,WD ,Normal,902109130.0,633 9TH ST,42.03028423,-93.61908511,6,3.0
2272,903231060,800,60000,30,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,2,3,1936,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,Fa,3,BrkTil,TA,3.0,No,Unf,0.0,Unf,0.0,264.0,264.0,Grav,Fa,N,FuseA,800,0,0,0.0,0.0,1,0,1,1,Fa,4,Maj1,1,Po,,,,0.0,0.0,,0.0,N,0,0,0,0,0,0,,,,0,1,2009,ConLw,Normal,903231060.0,1109 MARSTON AVE,42.03234791,-93.62368282,6,3.0
2480,534450110,666,64500,20,RL,50.0,5000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,3,3,1946,1950,Gable,CompShg,WdShing,Wd Shng,,0.0,Fa,3,CBlock,Fa,3.0,No,LwQ,299.0,Unf,0.0,367.0,666.0,GasA,Fa,N,SBrkr,666,0,0,0.0,1.0,1,0,2,1,Gd,4,Typ,0,,,,,0.0,0.0,,0.0,N,0,52,0,0,0,0,,MnPrv,,0,4,2007,WD ,Normal,534450110.0,1441 SUMMIT AVE,42.03566082,-93.62958293,6,3.0
1428,903481100,1344,82375,190,RM,60.0,10320,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,2fmCon,2Story,3,3,1915,1950,Gable,CompShg,AsphShn,AsphShn,,0.0,Fa,3,PConc,TA,3.0,No,Unf,0.0,Unf,0.0,536.0,536.0,GasA,Ex,N,FuseF,808,536,0,0.0,0.0,2,0,3,2,TA,8,Typ,0,,,,,0.0,0.0,,0.0,N,42,0,204,0,0,0,,,,0,5,2008,WD ,Normal,903481100.0,1017 N 2ND ST,42.02413621,-93.62402561,6,3.0
